id,county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
83,Trinity,30.0,0.0,0,0,2020-11-01T00:00:00
84,Lake,727.0,18.0,3,0,2020-11-01T00:00:00
85,San Bernardino,64339.0,1078.0,323,0,2020-11-01T00:00:00
86,Modoc,45.0,0.0,11,0,2020-11-01T00:00:00
87,Tulare,17774.0,293.0,16,0,2020-11-01T00:00:00
88,San Francisco,12436.0,148.0,-2,0,2020-11-01T00:00:00
89,Napa,2067.0,16.0,27,0,2020-11-01T00:00:00
90,Nevada,646.0,9.0,2,0,2020-11-01T00:00:00
91,Humboldt,568.0,10.0,7,0,2020-11-01T00:00:00
92,Santa Clara,25090.0,406.0,133,0,2020-11-01T00:00:00
93,Fresno,31613.0,443.0,55,0,2020-11-01T00:00:00
94,Glenn,688.0,3.0,10,0,2020-11-01T00:00:00
95,San Benito,1451.0,15.0,3,0,2020-11-01T00:00:00
96,Contra Costa,19246.0,247.0,85,1,2020-11-01T00:00:00
97,Santa Barbara,9969.0,128.0,12,0,2020-11-01T00:00:00
98,Los Angeles,306217.0,7074.0,1513,3,2020-11-01T00:00:00
99,Yuba,1273.0,10.0,13,0,2020-11-01T00:00:00
100,Sacramento,26442.0,500.0,126,0,2020-11-01T00:00:00
101,San Diego,57122.0,891.0,353,0,2020-11-01T00:00:00
102,San Joaquin,21919.0,494.0,1,0,2020-11-01T00:00:00
103,Placer,4422.0,59.0,48,0,2020-11-01T00:00:00
104,Inyo,241.0,15.0,0,0,2020-11-01T00:00:00
105,Mono,211.0,2.0,17,0,2020-11-01T00:00:00
106,Mariposa,79.0,2.0,0,0,2020-11-01T00:00:00
107,Colusa,567.0,6.0,12,0,2020-11-01T00:00:00
108,Solano,7591.0,76.0,46,0,2020-11-01T00:00:00
109,Amador,352.0,16.0,5,0,2020-11-01T00:00:00
110,Yolo,3303.0,60.0,13,0,2020-11-01T00:00:00
111,Alpine,4.0,0.0,0,0,2020-11-01T00:00:00
112,Lassen,782.0,1.0,0,0,2020-11-01T00:00:00
113,Plumas,86.0,0.0,1,0,2020-11-01T00:00:00
114,Alameda,23892.0,464.0,112,0,2020-11-01T00:00:00
115,Unassigned,4.0,0.0,0,0,2020-11-01T00:00:00
116,Sonoma,9688.0,136.0,40,0,2020-11-01T00:00:00
117,Out Of Country,0.0,0.0,0,0,2020-11-01T00:00:00
118,Del Norte,175.0,1.0,0,0,2020-11-01T00:00:00
119,Tehama,965.0,14.0,12,0,2020-11-01T00:00:00
120,Kern,33760.0,424.0,94,0,2020-11-01T00:00:00
121,Orange,59488.0,1483.0,154,8,2020-10-31T00:00:00
122,Calaveras,280.0,21.0,1,0,2020-10-31T00:00:00
123,El Dorado,1390.0,4.0,4,0,2020-10-31T00:00:00
124,Glenn,678.0,3.0,4,0,2020-10-31T00:00:00
125,Nevada,644.0,9.0,10,0,2020-10-31T00:00:00
126,San Joaquin,21918.0,494.0,69,0,2020-10-31T00:00:00
127,San Diego,56769.0,891.0,382,3,2020-10-31T00:00:00
128,Contra Costa,19161.0,246.0,87,0,2020-10-31T00:00:00
129,Sacramento,26316.0,500.0,169,0,2020-10-31T00:00:00
130,San Benito,1448.0,15.0,8,0,2020-10-31T00:00:00
131,Sutter,1876.0,12.0,16,0,2020-10-31T00:00:00
132,Sierra,6.0,0.0,0,0,2020-10-31T00:00:00
133,Yuba,1260.0,10.0,4,0,2020-10-31T00:00:00
134,Solano,7545.0,76.0,48,0,2020-10-31T00:00:00
135,Santa Barbara,9957.0,128.0,20,0,2020-10-31T00:00:00
136,Madera,5013.0,76.0,22,0,2020-10-31T00:00:00
137,Mendocino,1066.0,21.0,4,0,2020-10-31T00:00:00
138,Monterey,11539.0,96.0,48,1,2020-10-31T00:00:00
139,Ventura,14635.0,166.0,57,0,2020-10-31T00:00:00
140,Tuolumne,290.0,6.0,4,0,2020-10-31T00:00:00
141,Trinity,30.0,0.0,1,0,2020-10-31T00:00:00
142,Stanislaus,17920.0,401.0,59,1,2020-10-31T00:00:00
