id,county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
2277,Fresno,28336.0,382.0,137,0,2020-09-26T00:00:00
2278,San Mateo,9509.0,150.0,62,0,2020-09-26T00:00:00
2279,Sutter,1662.0,11.0,7,0,2020-09-26T00:00:00
2280,Yuba,1056.0,7.0,7,0,2020-09-26T00:00:00
2281,Modoc,26.0,0.0,2,0,2020-09-25T00:00:00
2282,Lake,539.0,11.0,8,0,2020-09-25T00:00:00
2283,Yolo,2784.0,55.0,8,0,2020-09-25T00:00:00
2284,Mendocino,819.0,18.0,9,0,2020-09-25T00:00:00
2285,Stanislaus,16381.0,345.0,55,0,2020-09-25T00:00:00
2286,Del Norte,138.0,1.0,1,0,2020-09-25T00:00:00
2287,Mariposa,74.0,2.0,0,0,2020-09-25T00:00:00
2288,Humboldt,489.0,7.0,7,0,2020-09-25T00:00:00
2289,Santa Cruz,2309.0,9.0,9,0,2020-09-25T00:00:00
2290,Tuolumne,223.0,4.0,-1,0,2020-09-25T00:00:00
2291,Siskiyou,149.0,0.0,0,0,2020-09-25T00:00:00
2292,Calaveras,257.0,14.0,-1,0,2020-09-25T00:00:00
2293,Fresno,28199.0,382.0,93,20,2020-09-25T00:00:00
2294,Sacramento,22132.0,406.0,147,7,2020-09-25T00:00:00
2295,Tehama,546.0,5.0,6,1,2020-09-25T00:00:00
2296,Orange,52031.0,1204.0,282,22,2020-09-25T00:00:00
2297,Marin,6622.0,117.0,34,1,2020-09-25T00:00:00
2298,Glenn,570.0,3.0,3,0,2020-09-25T00:00:00
2299,Yuba,1049.0,7.0,7,0,2020-09-25T00:00:00
2300,Sutter,1655.0,11.0,9,0,2020-09-25T00:00:00
2301,Placer,3527.0,44.0,13,0,2020-09-25T00:00:00
2302,Plumas,48.0,0.0,0,0,2020-09-25T00:00:00
2303,San Bernardino,52814.0,922.0,359,4,2020-09-25T00:00:00
2304,Santa Barbara,9026.0,113.0,38,0,2020-09-25T00:00:00
2305,Alpine,2.0,0.0,0,0,2020-09-25T00:00:00
2306,Riverside,57783.0,1189.0,292,10,2020-09-25T00:00:00
2307,Inyo,187.0,15.0,0,0,2020-09-25T00:00:00
2308,Merced,8830.0,142.0,17,2,2020-09-25T00:00:00
2309,Lassen,737.0,0.0,0,0,2020-09-25T00:00:00
2310,Alameda,20911.0,404.0,73,7,2020-09-25T00:00:00
2311,Napa,1669.0,13.0,8,0,2020-09-25T00:00:00
2312,Shasta,806.0,17.0,33,1,2020-09-25T00:00:00
2313,Trinity,15.0,0.0,0,0,2020-09-25T00:00:00
2314,Amador,289.0,16.0,1,0,2020-09-25T00:00:00
2315,Los Angeles,265713.0,6488.0,1339,33,2020-09-25T00:00:00
2316,El Dorado,1104.0,4.0,11,0,2020-09-25T00:00:00
2317,San Mateo,9447.0,150.0,71,6,2020-09-25T00:00:00
2318,Out Of Country,0.0,0.0,0,0,2020-09-25T00:00:00
2319,Contra Costa,16401.0,205.0,149,1,2020-09-25T00:00:00
2320,San Joaquin,19909.0,441.0,58,4,2020-09-25T00:00:00
2321,Mono,149.0,2.0,0,0,2020-09-25T00:00:00
2322,Tulare,15815.0,259.0,61,0,2020-09-25T00:00:00
2323,Butte,2819.0,44.0,16,1,2020-09-25T00:00:00
2324,San Francisco,11066.0,99.0,74,0,2020-09-25T00:00:00
2325,Nevada,529.0,7.0,2,0,2020-09-25T00:00:00
2326,San Benito,1318.0,11.0,10,0,2020-09-25T00:00:00
2327,Imperial,10681.0,317.0,59,0,2020-09-25T00:00:00
2328,Solano,6179.0,63.0,42,0,2020-09-25T00:00:00
2329,Kern,31333.0,367.0,60,6,2020-09-25T00:00:00
2330,Santa Clara,20812.0,306.0,123,2,2020-09-25T00:00:00
2331,San Luis Obispo,3512.0,29.0,32,0,2020-09-25T00:00:00
2332,San Diego,46003.0,775.0,405,2,2020-09-25T00:00:00
2333,Ventura,12664.0,150.0,47,3,2020-09-25T00:00:00
2334,Kings,7450.0,77.0,22,0,2020-09-25T00:00:00
2335,Sonoma,7202.0,120.0,39,0,2020-09-25T00:00:00
2336,Colusa,528.0,6.0,5,0,2020-09-25T00:00:00
2337,Sierra,6.0,0.0,0,0,2020-09-25T00:00:00
2338,Unassigned,11.0,0.0,-2,0,2020-09-25T00:00:00
2339,Madera,4369.0,65.0,25,0,2020-09-25T00:00:00
2340,Monterey,9581.0,71.0,37,1,2020-09-25T00:00:00
2341,Tehama,540.0,4.0,7,0,2020-09-24T00:00:00
2342,Humboldt,482.0,7.0,5,1,2020-09-24T00:00:00
2343,Solano,6137.0,63.0,14,3,2020-09-24T00:00:00
2344,Ventura,12617.0,147.0,26,1,2020-09-24T00:00:00
2345,Tuolumne,224.0,4.0,1,0,2020-09-24T00:00:00
2346,Lake,531.0,11.0,12,0,2020-09-24T00:00:00
2347,Kern,31273.0,361.0,101,1,2020-09-24T00:00:00
2348,Monterey,9544.0,70.0,92,0,2020-09-24T00:00:00
2349,Santa Clara,20689.0,304.0,114,4,2020-09-24T00:00:00
2350,San Luis Obispo,3480.0,29.0,33,0,2020-09-24T00:00:00
2351,Madera,4344.0,65.0,33,0,2020-09-24T00:00:00
2352,Santa Cruz,2300.0,9.0,17,0,2020-09-24T00:00:00
2353,Marin,6588.0,116.0,21,2,2020-09-24T00:00:00
2354,San Diego,45598.0,773.0,171,6,2020-09-24T00:00:00
2355,Del Norte,137.0,1.0,0,0,2020-09-24T00:00:00
2356,Amador,288.0,16.0,0,0,2020-09-24T00:00:00
2357,Sierra,6.0,0.0,0,0,2020-09-24T00:00:00
2358,Inyo,187.0,15.0,10,0,2020-09-24T00:00:00
2359,Glenn,567.0,3.0,6,0,2020-09-24T00:00:00
2360,Napa,1661.0,13.0,8,0,2020-09-24T00:00:00
2361,Los Angeles,264374.0,6455.0,1056,32,2020-09-24T00:00:00
2362,Merced,8813.0,140.0,28,0,2020-09-24T00:00:00
2363,San Mateo,9376.0,144.0,25,0,2020-09-24T00:00:00
2364,Plumas,48.0,0.0,0,0,2020-09-24T00:00:00
2365,Riverside,57491.0,1179.0,234,6,2020-09-24T00:00:00
2366,Trinity,15.0,0.0,0,0,2020-09-24T00:00:00
2367,El Dorado,1093.0,4.0,5,0,2020-09-24T00:00:00
2368,Alpine,2.0,0.0,0,0,2020-09-24T00:00:00
2369,San Bernardino,52455.0,918.0,323,10,2020-09-24T00:00:00
2370,Contra Costa,16252.0,204.0,85,0,2020-09-24T00:00:00
2371,Modoc,24.0,0.0,0,0,2020-09-24T00:00:00
2372,Lassen,737.0,0.0,1,0,2020-09-24T00:00:00
2373,Out Of Country,0.0,0.0,0,0,2020-09-24T00:00:00
2374,Orange,51749.0,1182.0,91,6,2020-09-24T00:00:00
2375,Colusa,523.0,6.0,2,0,2020-09-24T00:00:00
2376,Sacramento,21985.0,399.0,164,0,2020-09-24T00:00:00
2377,Shasta,773.0,16.0,17,2,2020-09-24T00:00:00
2378,Fresno,28106.0,362.0,87,0,2020-09-24T00:00:00
2379,Placer,3514.0,44.0,8,1,2020-09-24T00:00:00
2380,San Joaquin,19851.0,437.0,66,3,2020-09-24T00:00:00
2381,Yolo,2776.0,55.0,10,0,2020-09-24T00:00:00
2382,Sonoma,7163.0,120.0,72,0,2020-09-24T00:00:00
2383,Stanislaus,16326.0,345.0,55,3,2020-09-24T00:00:00
2384,Mono,149.0,2.0,0,0,2020-09-24T00:00:00
2385,Calaveras,258.0,14.0,0,0,2020-09-24T00:00:00
2386,Tulare,15754.0,259.0,90,0,2020-09-24T00:00:00
2387,Yuba,1042.0,7.0,4,0,2020-09-24T00:00:00
2388,Nevada,527.0,7.0,4,1,2020-09-24T00:00:00
2389,Butte,2803.0,43.0,13,0,2020-09-24T00:00:00
2390,Mariposa,74.0,2.0,0,0,2020-09-24T00:00:00
2391,Sutter,1646.0,11.0,0,0,2020-09-24T00:00:00
2392,San Francisco,10992.0,99.0,66,0,2020-09-24T00:00:00
2393,Unassigned,13.0,0.0,-2,0,2020-09-24T00:00:00
2394,Alameda,20838.0,397.0,120,2,2020-09-24T00:00:00
2395,Santa Barbara,8988.0,113.0,36,0,2020-09-24T00:00:00
2396,San Benito,1308.0,11.0,3,0,2020-09-24T00:00:00
2397,Kings,7428.0,77.0,22,0,2020-09-24T00:00:00
2398,Imperial,10622.0,317.0,35,0,2020-09-24T00:00:00
2399,Mendocino,810.0,18.0,9,0,2020-09-24T00:00:00
2400,Siskiyou,149.0,0.0,0,0,2020-09-24T00:00:00
2401,Napa,1653.0,13.0,1,0,2020-09-23T00:00:00
2402,Modoc,24.0,0.0,0,0,2020-09-23T00:00:00
2403,Riverside,57257.0,1173.0,191,1,2020-09-23T00:00:00
2404,San Mateo,9351.0,144.0,60,0,2020-09-23T00:00:00
2405,Imperial,10587.0,317.0,58,3,2020-09-23T00:00:00
2406,Humboldt,477.0,6.0,1,0,2020-09-23T00:00:00
2407,Mariposa,74.0,2.0,0,0,2020-09-23T00:00:00
2408,El Dorado,1088.0,4.0,12,0,2020-09-23T00:00:00
2409,Alameda,20718.0,395.0,111,5,2020-09-23T00:00:00
2410,Contra Costa,16167.0,204.0,77,2,2020-09-23T00:00:00
2411,San Francisco,10926.0,99.0,33,0,2020-09-23T00:00:00
2412,Lassen,736.0,0.0,0,0,2020-09-23T00:00:00
2413,Out Of Country,0.0,0.0,0,0,2020-09-23T00:00:00
2414,Marin,6567.0,114.0,6,0,2020-09-23T00:00:00
2415,Colusa,521.0,6.0,3,0,2020-09-23T00:00:00
2416,Unassigned,15.0,0.0,5,0,2020-09-23T00:00:00
2417,Sacramento,21821.0,399.0,76,6,2020-09-23T00:00:00
2418,Orange,51658.0,1176.0,130,26,2020-09-23T00:00:00
2419,Plumas,48.0,0.0,0,0,2020-09-23T00:00:00
2420,Santa Barbara,8952.0,113.0,25,2,2020-09-23T00:00:00
2421,Fresno,28019.0,362.0,75,0,2020-09-23T00:00:00
2422,San Benito,1305.0,11.0,0,0,2020-09-23T00:00:00
2423,San Joaquin,19785.0,434.0,30,13,2020-09-23T00:00:00
2424,Placer,3506.0,43.0,14,1,2020-09-23T00:00:00
2425,Yuba,1038.0,7.0,3,0,2020-09-23T00:00:00
2426,Shasta,756.0,14.0,33,0,2020-09-23T00:00:00
2427,Alpine,2.0,0.0,0,0,2020-09-23T00:00:00
2428,Yolo,2766.0,55.0,3,1,2020-09-23T00:00:00
2429,Sonoma,7091.0,120.0,23,6,2020-09-23T00:00:00
2430,Siskiyou,149.0,0.0,0,0,2020-09-23T00:00:00
2431,Mono,149.0,2.0,0,0,2020-09-23T00:00:00
2432,Sutter,1646.0,11.0,8,1,2020-09-23T00:00:00
2433,Solano,6123.0,60.0,16,3,2020-09-23T00:00:00
2434,Stanislaus,16271.0,342.0,40,3,2020-09-23T00:00:00
2435,Ventura,12591.0,146.0,84,0,2020-09-23T00:00:00
2436,Tuolumne,223.0,4.0,-1,0,2020-09-23T00:00:00
2437,Del Norte,137.0,1.0,0,0,2020-09-23T00:00:00
2438,Nevada,523.0,6.0,0,0,2020-09-23T00:00:00
2439,Calaveras,258.0,14.0,0,0,2020-09-23T00:00:00
2440,Kern,31172.0,360.0,62,3,2020-09-23T00:00:00
2441,Santa Clara,20575.0,300.0,61,1,2020-09-23T00:00:00
2442,San Diego,45427.0,767.0,278,2,2020-09-23T00:00:00
2443,San Luis Obispo,3447.0,29.0,27,2,2020-09-23T00:00:00
2444,Lake,519.0,11.0,3,0,2020-09-23T00:00:00
2445,Trinity,15.0,0.0,0,0,2020-09-23T00:00:00
2446,Santa Cruz,2283.0,9.0,19,1,2020-09-23T00:00:00
2447,Tulare,15664.0,259.0,48,2,2020-09-23T00:00:00
2448,Kings,7406.0,77.0,11,0,2020-09-23T00:00:00
2449,Madera,4311.0,65.0,8,0,2020-09-23T00:00:00
2450,Merced,8785.0,140.0,16,0,2020-09-23T00:00:00
2451,Amador,288.0,16.0,1,0,2020-09-23T00:00:00
2452,Mendocino,801.0,18.0,7,0,2020-09-23T00:00:00
2453,Monterey,9452.0,70.0,59,0,2020-09-23T00:00:00
2454,Tehama,533.0,4.0,4,0,2020-09-23T00:00:00
2455,Glenn,561.0,3.0,1,0,2020-09-23T00:00:00
2456,Inyo,177.0,15.0,0,1,2020-09-23T00:00:00
2457,Los Angeles,263318.0,6423.0,1201,22,2020-09-23T00:00:00
2458,Butte,2790.0,43.0,14,3,2020-09-23T00:00:00
2459,Sierra,6.0,0.0,0,0,2020-09-23T00:00:00
2460,San Bernardino,52132.0,908.0,233,0,2020-09-23T00:00:00
2461,Amador,287.0,16.0,1,0,2020-09-22T00:00:00
2462,Modoc,24.0,0.0,2,0,2020-09-22T00:00:00
2463,Mono,149.0,2.0,2,0,2020-09-22T00:00:00
2464,Imperial,10529.0,314.0,8,0,2020-09-22T00:00:00
2465,Butte,2776.0,40.0,7,0,2020-09-22T00:00:00
2466,Riverside,57066.0,1172.0,65,10,2020-09-22T00:00:00
2467,San Mateo,9291.0,144.0,52,1,2020-09-22T00:00:00
2468,Alameda,20607.0,390.0,106,16,2020-09-22T00:00:00
2469,Solano,6107.0,57.0,88,2,2020-09-22T00:00:00
2470,Santa Barbara,8927.0,111.0,16,1,2020-09-22T00:00:00
2471,Mariposa,74.0,2.0,0,0,2020-09-22T00:00:00
2472,Madera,4303.0,65.0,28,3,2020-09-22T00:00:00
2473,Lassen,736.0,0.0,1,0,2020-09-22T00:00:00
2474,Los Angeles,262117.0,6401.0,699,35,2020-09-22T00:00:00
2475,San Francisco,10893.0,99.0,150,0,2020-09-22T00:00:00
2476,Contra Costa,16090.0,202.0,82,1,2020-09-22T00:00:00
2477,Plumas,48.0,0.0,1,0,2020-09-22T00:00:00
2478,Yolo,2763.0,54.0,11,0,2020-09-22T00:00:00
2479,Napa,1652.0,13.0,11,0,2020-09-22T00:00:00
2480,Santa Cruz,2264.0,8.0,7,0,2020-09-22T00:00:00
2481,El Dorado,1076.0,4.0,2,0,2020-09-22T00:00:00
2482,San Luis Obispo,3420.0,27.0,14,0,2020-09-22T00:00:00
2483,Marin,6561.0,114.0,23,1,2020-09-22T00:00:00
2484,Del Norte,137.0,1.0,5,0,2020-09-22T00:00:00
2485,Tuolumne,224.0,4.0,3,0,2020-09-22T00:00:00
2486,Out Of Country,0.0,0.0,0,0,2020-09-22T00:00:00
2487,Colusa,518.0,6.0,1,0,2020-09-22T00:00:00
2488,Kings,7395.0,77.0,98,0,2020-09-22T00:00:00
2489,Inyo,177.0,14.0,0,0,2020-09-22T00:00:00
2490,Calaveras,258.0,14.0,2,0,2020-09-22T00:00:00
2491,Siskiyou,149.0,0.0,3,0,2020-09-22T00:00:00
2492,Tulare,15616.0,257.0,88,1,2020-09-22T00:00:00
2493,Tehama,529.0,4.0,16,0,2020-09-22T00:00:00
2494,Stanislaus,16231.0,339.0,45,2,2020-09-22T00:00:00
2495,Unassigned,10.0,0.0,1,0,2020-09-22T00:00:00
2496,Alpine,2.0,0.0,0,0,2020-09-22T00:00:00
2497,Kern,31110.0,357.0,79,3,2020-09-22T00:00:00
2498,Merced,8769.0,140.0,20,3,2020-09-22T00:00:00
2499,Ventura,12507.0,146.0,30,0,2020-09-22T00:00:00
2500,San Joaquin,19755.0,421.0,176,6,2020-09-22T00:00:00
2501,Yuba,1035.0,7.0,2,0,2020-09-22T00:00:00
2502,San Benito,1305.0,11.0,7,0,2020-09-22T00:00:00
2503,Mendocino,794.0,18.0,16,0,2020-09-22T00:00:00
2504,Fresno,27944.0,362.0,101,7,2020-09-22T00:00:00
2505,Placer,3492.0,42.0,19,1,2020-09-22T00:00:00
2506,Monterey,9393.0,70.0,62,1,2020-09-22T00:00:00
2507,San Bernardino,51899.0,908.0,245,0,2020-09-22T00:00:00
2508,Glenn,560.0,3.0,4,0,2020-09-22T00:00:00
2509,Shasta,723.0,14.0,27,0,2020-09-22T00:00:00
2510,Santa Clara,20514.0,299.0,82,2,2020-09-22T00:00:00
2511,Sonoma,7068.0,114.0,51,0,2020-09-22T00:00:00
2512,Sierra,6.0,0.0,0,0,2020-09-22T00:00:00
2513,San Diego,45149.0,765.0,222,5,2020-09-22T00:00:00
2514,Humboldt,476.0,6.0,3,0,2020-09-22T00:00:00
2515,Nevada,523.0,6.0,8,0,2020-09-22T00:00:00
2516,Sacramento,21745.0,393.0,177,10,2020-09-22T00:00:00
2517,Trinity,15.0,0.0,0,0,2020-09-22T00:00:00
2518,Sutter,1638.0,10.0,4,0,2020-09-22T00:00:00
2519,Lake,516.0,11.0,8,0,2020-09-22T00:00:00
2520,Orange,51528.0,1150.0,165,22,2020-09-22T00:00:00
2521,Contra Costa,16008.0,201.0,91,0,2020-09-21T00:00:00
2522,Merced,8749.0,137.0,4,3,2020-09-21T00:00:00
2523,Lassen,735.0,0.0,0,0,2020-09-21T00:00:00
2524,Sutter,1634.0,10.0,10,0,2020-09-21T00:00:00
2525,Placer,3473.0,41.0,21,0,2020-09-21T00:00:00
2526,Yuba,1033.0,7.0,4,0,2020-09-21T00:00:00
2527,Plumas,47.0,0.0,0,0,2020-09-21T00:00:00
2528,Amador,286.0,16.0,0,0,2020-09-21T00:00:00
2529,Los Angeles,261418.0,6366.0,648,13,2020-09-21T00:00:00
2530,Modoc,22.0,0.0,0,0,2020-09-21T00:00:00
2531,Mendocino,778.0,18.0,13,0,2020-09-21T00:00:00
2532,San Mateo,9239.0,143.0,41,0,2020-09-21T00:00:00
2533,Nevada,515.0,6.0,4,0,2020-09-21T00:00:00
2534,Colusa,517.0,6.0,7,0,2020-09-21T00:00:00
2535,Orange,51363.0,1128.0,130,0,2020-09-21T00:00:00
2536,Out Of Country,0.0,0.0,0,0,2020-09-21T00:00:00
2537,Napa,1641.0,13.0,15,0,2020-09-21T00:00:00
2538,San Joaquin,19579.0,415.0,1,1,2020-09-21T00:00:00
2539,Lake,508.0,11.0,16,1,2020-09-21T00:00:00
2540,Fresno,27843.0,355.0,74,0,2020-09-21T00:00:00
2541,Shasta,696.0,14.0,0,0,2020-09-21T00:00:00
2542,Calaveras,256.0,14.0,0,0,2020-09-21T00:00:00
2543,Mono,147.0,2.0,0,0,2020-09-21T00:00:00
2544,Del Norte,132.0,1.0,0,0,2020-09-21T00:00:00
2545,Tulare,15528.0,256.0,0,0,2020-09-21T00:00:00
2546,Butte,2769.0,40.0,5,5,2020-09-21T00:00:00
2547,San Francisco,10743.0,99.0,0,0,2020-09-21T00:00:00
2548,Tehama,513.0,4.0,4,0,2020-09-21T00:00:00
2549,Siskiyou,146.0,0.0,0,0,2020-09-21T00:00:00
2550,San Benito,1298.0,11.0,7,0,2020-09-21T00:00:00
2551,San Luis Obispo,3406.0,27.0,13,0,2020-09-21T00:00:00
2552,Imperial,10521.0,314.0,25,0,2020-09-21T00:00:00
2553,Unassigned,9.0,0.0,1,0,2020-09-21T00:00:00
2554,Santa Cruz,2257.0,8.0,58,0,2020-09-21T00:00:00
2555,Mariposa,74.0,2.0,0,0,2020-09-21T00:00:00
2556,Solano,6019.0,55.0,-1,0,2020-09-21T00:00:00
2557,Tuolumne,221.0,4.0,0,0,2020-09-21T00:00:00
2558,Kern,31031.0,354.0,39,0,2020-09-21T00:00:00
2559,El Dorado,1074.0,4.0,1,0,2020-09-21T00:00:00
2560,Santa Clara,20432.0,297.0,102,1,2020-09-21T00:00:00
2561,San Diego,44927.0,760.0,348,0,2020-09-21T00:00:00
2562,Ventura,12477.0,146.0,71,3,2020-09-21T00:00:00
2563,Kings,7297.0,77.0,138,0,2020-09-21T00:00:00
2564,Madera,4275.0,62.0,18,4,2020-09-21T00:00:00
2565,Humboldt,473.0,6.0,1,0,2020-09-21T00:00:00
2566,Marin,6538.0,113.0,5,1,2020-09-21T00:00:00
2567,Stanislaus,16186.0,337.0,27,2,2020-09-21T00:00:00
2568,Sonoma,7017.0,114.0,63,0,2020-09-21T00:00:00
2569,Monterey,9331.0,69.0,19,2,2020-09-21T00:00:00
2570,Sacramento,21568.0,383.0,174,8,2020-09-21T00:00:00
2571,Santa Barbara,8911.0,110.0,31,0,2020-09-21T00:00:00
2572,Sierra,6.0,0.0,0,0,2020-09-21T00:00:00
2573,Riverside,57001.0,1162.0,218,9,2020-09-21T00:00:00
2574,Glenn,556.0,3.0,6,0,2020-09-21T00:00:00
2575,Trinity,15.0,0.0,0,0,2020-09-21T00:00:00
2576,Yolo,2752.0,54.0,7,0,2020-09-21T00:00:00
2577,Inyo,177.0,14.0,0,0,2020-09-21T00:00:00
2578,San Bernardino,51654.0,908.0,95,0,2020-09-21T00:00:00
2579,Alameda,20501.0,374.0,76,0,2020-09-21T00:00:00
2580,Alpine,2.0,0.0,0,0,2020-09-21T00:00:00
2581,Sacramento,21394.0,375.0,97,0,2020-09-20T00:00:00
2582,Humboldt,472.0,6.0,1,0,2020-09-20T00:00:00
2583,Plumas,47.0,0.0,0,0,2020-09-20T00:00:00
2584,San Francisco,10743.0,99.0,2,2,2020-09-20T00:00:00
2585,Butte,2764.0,35.0,16,0,2020-09-20T00:00:00
2586,Amador,286.0,16.0,1,0,2020-09-20T00:00:00
2587,Tulare,15528.0,256.0,43,0,2020-09-20T00:00:00
2588,Mono,147.0,2.0,0,0,2020-09-20T00:00:00
2589,Trinity,15.0,0.0,0,0,2020-09-20T00:00:00
2590,Calaveras,256.0,14.0,0,0,2020-09-20T00:00:00
2591,Madera,4257.0,58.0,20,0,2020-09-20T00:00:00
2592,Siskiyou,146.0,0.0,0,0,2020-09-20T00:00:00
2593,Mariposa,74.0,2.0,0,0,2020-09-20T00:00:00
2594,Shasta,696.0,14.0,9,0,2020-09-20T00:00:00
2595,Placer,3452.0,41.0,40,0,2020-09-20T00:00:00
2596,Sonoma,6954.0,114.0,49,0,2020-09-20T00:00:00
2597,Napa,1626.0,13.0,12,0,2020-09-20T00:00:00
2598,Monterey,9312.0,67.0,75,0,2020-09-20T00:00:00
2599,Yuba,1029.0,7.0,6,0,2020-09-20T00:00:00
2600,Fresno,27769.0,355.0,101,0,2020-09-20T00:00:00
2601,Colusa,510.0,6.0,3,0,2020-09-20T00:00:00
2602,Del Norte,132.0,1.0,0,0,2020-09-20T00:00:00
2603,Lake,492.0,10.0,27,0,2020-09-20T00:00:00
2604,San Joaquin,19578.0,414.0,-2,0,2020-09-20T00:00:00
2605,Sierra,6.0,0.0,0,0,2020-09-20T00:00:00
2606,Out Of Country,0.0,0.0,0,0,2020-09-20T00:00:00
2607,Contra Costa,15917.0,201.0,134,2,2020-09-20T00:00:00
2608,Santa Barbara,8880.0,110.0,18,0,2020-09-20T00:00:00
2609,Orange,51233.0,1128.0,234,1,2020-09-20T00:00:00
2610,Lassen,735.0,0.0,4,0,2020-09-20T00:00:00
2611,San Mateo,9198.0,143.0,40,0,2020-09-20T00:00:00
2612,Mendocino,765.0,18.0,15,0,2020-09-20T00:00:00
2613,Modoc,22.0,0.0,0,0,2020-09-20T00:00:00
2614,Merced,8745.0,134.0,28,0,2020-09-20T00:00:00
2615,Riverside,56783.0,1153.0,221,0,2020-09-20T00:00:00
2616,Alpine,2.0,0.0,0,0,2020-09-20T00:00:00
2617,Nevada,511.0,6.0,6,0,2020-09-20T00:00:00
2618,Glenn,550.0,3.0,3,0,2020-09-20T00:00:00
2619,San Bernardino,51559.0,908.0,206,0,2020-09-20T00:00:00
2620,Alameda,20425.0,374.0,76,0,2020-09-20T00:00:00
2621,Stanislaus,16159.0,335.0,50,3,2020-09-20T00:00:00
2622,El Dorado,1073.0,4.0,5,0,2020-09-20T00:00:00
2623,Santa Clara,20330.0,296.0,160,0,2020-09-20T00:00:00
2624,Sutter,1624.0,10.0,22,0,2020-09-20T00:00:00
2625,San Diego,44579.0,760.0,284,0,2020-09-20T00:00:00
2626,Ventura,12406.0,143.0,78,0,2020-09-20T00:00:00
2627,Inyo,177.0,14.0,0,0,2020-09-20T00:00:00
2628,Kern,30992.0,354.0,106,0,2020-09-20T00:00:00
2629,Solano,6020.0,55.0,22,0,2020-09-20T00:00:00
2630,Tuolumne,221.0,4.0,4,0,2020-09-20T00:00:00
2631,Marin,6533.0,112.0,20,0,2020-09-20T00:00:00
2632,Unassigned,8.0,0.0,3,0,2020-09-20T00:00:00
2633,Tehama,509.0,4.0,11,0,2020-09-20T00:00:00
2634,Kings,7159.0,77.0,29,0,2020-09-20T00:00:00
2635,Yolo,2745.0,54.0,6,0,2020-09-20T00:00:00
2636,Santa Cruz,2199.0,8.0,1,0,2020-09-20T00:00:00
2637,Imperial,10496.0,314.0,0,0,2020-09-20T00:00:00
2638,San Luis Obispo,3393.0,27.0,24,0,2020-09-20T00:00:00
2639,Los Angeles,260770.0,6353.0,969,23,2020-09-20T00:00:00
2640,San Benito,1291.0,11.0,15,0,2020-09-20T00:00:00
2641,Alameda,20349.0,374.0,127,4,2020-09-19T00:00:00
2642,Trinity,15.0,0.0,0,0,2020-09-19T00:00:00
2643,Colusa,507.0,6.0,3,0,2020-09-19T00:00:00
2644,Santa Clara,20170.0,296.0,112,1,2020-09-19T00:00:00
2645,Imperial,10496.0,314.0,36,2,2020-09-19T00:00:00
2646,San Mateo,9158.0,143.0,96,1,2020-09-19T00:00:00
2647,Amador,285.0,16.0,0,0,2020-09-19T00:00:00
2648,Lassen,731.0,0.0,0,0,2020-09-19T00:00:00
2649,Santa Barbara,8862.0,110.0,38,0,2020-09-19T00:00:00
2650,Plumas,47.0,0.0,2,0,2020-09-19T00:00:00
2651,Tuolumne,217.0,4.0,1,0,2020-09-19T00:00:00
2652,Humboldt,471.0,6.0,1,0,2020-09-19T00:00:00
2653,Lake,465.0,10.0,7,0,2020-09-19T00:00:00
2654,Sierra,6.0,0.0,0,0,2020-09-19T00:00:00
2655,Stanislaus,16109.0,332.0,67,3,2020-09-19T00:00:00
2656,Placer,3412.0,41.0,23,0,2020-09-19T00:00:00
2657,San Bernardino,51353.0,908.0,247,50,2020-09-19T00:00:00
2658,Shasta,687.0,14.0,19,0,2020-09-19T00:00:00
2659,San Luis Obispo,3369.0,27.0,41,0,2020-09-19T00:00:00
2660,Del Norte,132.0,1.0,1,0,2020-09-19T00:00:00
2661,Solano,5998.0,55.0,37,0,2020-09-19T00:00:00
2662,Contra Costa,15783.0,199.0,116,0,2020-09-19T00:00:00
2663,Modoc,22.0,0.0,0,0,2020-09-19T00:00:00
2664,Monterey,9237.0,67.0,54,1,2020-09-19T00:00:00
2665,Unassigned,5.0,0.0,4,0,2020-09-19T00:00:00
2666,Yuba,1023.0,7.0,3,0,2020-09-19T00:00:00
2667,Riverside,56562.0,1153.0,314,0,2020-09-19T00:00:00
2668,San Francisco,10741.0,97.0,97,1,2020-09-19T00:00:00
2669,Kern,30886.0,354.0,144,4,2020-09-19T00:00:00
2670,Sonoma,6905.0,114.0,49,0,2020-09-19T00:00:00
2671,Orange,50999.0,1127.0,266,4,2020-09-19T00:00:00
2672,Kings,7130.0,77.0,68,0,2020-09-19T00:00:00
2673,Tulare,15485.0,256.0,50,0,2020-09-19T00:00:00
2674,Mono,147.0,2.0,0,0,2020-09-19T00:00:00
2675,Merced,8717.0,134.0,26,0,2020-09-19T00:00:00
2676,Calaveras,256.0,14.0,1,0,2020-09-19T00:00:00
2677,Sacramento,21297.0,375.0,192,0,2020-09-19T00:00:00
2678,Alpine,2.0,0.0,0,0,2020-09-19T00:00:00
2679,Los Angeles,259801.0,6330.0,1313,0,2020-09-19T00:00:00
2680,El Dorado,1068.0,4.0,5,0,2020-09-19T00:00:00
2681,Nevada,505.0,6.0,1,0,2020-09-19T00:00:00
2682,Napa,1614.0,13.0,10,0,2020-09-19T00:00:00
2683,San Benito,1276.0,11.0,19,0,2020-09-19T00:00:00
2684,Butte,2748.0,35.0,10,0,2020-09-19T00:00:00
2685,Sutter,1602.0,10.0,16,0,2020-09-19T00:00:00
