county_id,county_name,confirmed_cases,new_confirmed_cases,deaths,new_deaths,date
7,Butte,2946,2,48,0,2020-10-13
9,Calaveras,331,1,16,0,2020-10-13
11,Colusa,543,0,6,0,2020-10-13
13,Contra Costa,17834,51,231,1,2020-10-13
15,Del Norte,170,0,1,0,2020-10-13
17,El Dorado,1261,2,4,0,2020-10-13
19,Fresno,29523,104,424,18,2020-10-13
21,Glenn,635,5,3,0,2020-10-13
23,Humboldt,534,1,8,0,2020-10-13
25,Imperial,12290,70,330,0,2020-10-13
27,Inyo,209,4,15,0,2020-10-13
29,Kern,33089,69,397,2,2020-10-13
31,Kings,8096,4,82,0,2020-10-13
33,Lake,638,8,14,1,2020-10-13
35,Lassen,749,1,1,0,2020-10-13
37,Los Angeles,283793,770,6793,20,2020-10-13
39,Madera,4796,10,71,0,2020-10-13
41,Marin,6934,14,124,0,2020-10-13
43,Mariposa,77,0,2,0,2020-10-13
45,Mendocino,1055,5,21,0,2020-10-13
47,Merced,9265,116,152,2,2020-10-13
49,Modoc,27,0,0,0,2020-10-13
51,Mono,173,0,2,0,2020-10-13
53,Monterey,10748,64,81,1,2020-10-13
55,Napa,1823,6,13,0,2020-10-13
57,Nevada,573,11,8,0,2020-10-13
59,Orange,56070,178,1341,0,2020-10-13
61,Placer,3838,88,51,0,2020-10-13
63,Plumas,53,1,0,0,2020-10-13
65,Riverside,62553,729,1258,2,2020-10-13
67,Sacramento,23969,119,458,0,2020-10-13
69,San Benito,1388,2,13,0,2020-10-13
71,San Bernardino,58579,454,986,0,2020-10-13
73,San Diego,51024,278,840,14,2020-10-13
75,San Francisco,11691,25,123,0,2020-10-13
77,San Joaquin,21064,236,477,4,2020-10-13
79,San Luis Obispo,3924,82,32,1,2020-10-13
81,San Mateo,10601,91,155,0,2020-10-13
83,Santa Barbara,9503,28,116,0,2020-10-13
85,Santa Clara,22741,97,363,1,2020-10-13
87,Santa Cruz,2618,13,20,0,2020-10-13
89,Shasta,1597,254,25,1,2020-10-13
91,Sierra,6,0,0,0,2020-10-13
93,Siskiyou,182,0,0,0,2020-10-13
95,Solano,6876,126,74,0,2020-10-13
97,Sonoma,8558,58,128,0,2020-10-13
99,Stanislaus,17087,11,387,1,2020-10-13
101,Sutter,1785,3,12,0,2020-10-13
103,Tehama,680,0,8,0,2020-10-13
105,Trinity,20,0,0,0,2020-10-13
107,Tulare,16976,86,269,0,2020-10-13
109,Tuolumne,242,2,4,0,2020-10-13
111,Ventura,13438,15,158,0,2020-10-13
113,Yolo,2986,20,56,0,2020-10-13
115,Yuba,1239,3,10,0,2020-10-13
1,Alameda,22216,67,431,0,2020-10-12
3,Alpine,3,0,0,0,2020-10-12
5,Amador,269,2,15,0,2020-10-12
7,Butte,2944,30,48,0,2020-10-12
